Age,Education,Relationship_Status,Income,Children,Wine ($),Fruit ($),Meat ($),Fish ($),Sweets ($),Gold_Products ($),Discount_Purchases,Web_Purchases,Catalog_Purchases,Store_Purchases,Days_Enrolled,Avg_Purch_Freq,Avg_Spend ($),Accept_One,Accept_Rate,Cust_Accept (%)
57,Graduation,Single,58138.0,0,635,88,546,172,88,88,3,8,10,4,786.0,31.44,64.68,1,(1/6),16.666666666666664
60,Graduation,Single,46344.0,2,11,1,6,2,1,6,2,1,1,2,236.0,39.333333333333336,4.5,0,(0/6),0.0
49,Graduation,In-Relationship,71613.0,0,426,49,127,111,21,42,1,8,2,10,435.0,20.714285714285715,36.95238095238095,0,(0/6),0.0
30,Graduation,In-Relationship,26646.0,1,11,4,20,10,3,5,2,2,0,4,262.0,32.75,6.625,0,(0/6),0.0
33,PhD,Married,58293.0,1,173,43,118,46,27,15,5,5,3,6,284.0,14.947368421052632,22.210526315789473,0,(0/6),0.0
47,Master,In-Relationship,62513.0,1,520,42,98,0,42,14,2,6,4,10,416.0,18.90909090909091,32.54545454545455,0,(0/6),0.0
43,Graduation,Divorced,55635.0,1,235,65,164,50,49,27,4,7,3,7,716.0,34.095238095238095,28.095238095238095,0,(0/6),0.0
29,PhD,Married,33454.0,1,76,10,56,3,1,23,2,4,0,4,540.0,54.0,16.9,0,(0/6),0.0
40,PhD,In-Relationship,30351.0,1,14,0,24,3,3,2,1,3,0,2,511.0,85.16666666666667,7.666666666666667,1,(1/6),16.666666666666664
64,PhD,In-Relationship,5648.0,2,28,0,6,1,1,13,1,1,0,0,231.0,115.5,24.5,1,(1/6),16.666666666666664
31,Graduation,Married,50749.09830508474,1,5,5,6,0,2,1,1,1,0,2,349.0,87.25,4.75,0,(0/6),0.0
38,Basic,Married,7500.0,0,6,16,11,11,1,16,1,2,0,3,716.0,119.33333333333333,10.166666666666666,0,(0/6),0.0
55,Graduation,Divorced,63033.0,0,194,61,480,225,112,30,1,3,4,8,349.0,21.8125,68.875,0,(0/6),0.0
62,Master,Divorced,59354.0,2,233,2,53,3,5,14,3,6,1,5,349.0,23.266666666666666,20.666666666666668,0,(0/6),0.0
27,Graduation,Married,17323.0,0,3,14,17,6,1,5,1,1,0,3,750.0,150.0,9.2,0,(0/6),0.0
68,PhD,Single,82800.0,0,1006,22,115,59,68,45,1,7,6,12,705.0,27.115384615384617,50.57692307692308,1,(3/6),50.0
34,Graduation,Married,41850.0,2,53,5,19,2,13,4,3,3,0,3,675.0,75.0,10.666666666666666,0,(0/6),0.0
68,Graduation,In-Relationship,37760.0,0,84,5,38,150,12,28,2,4,1,6,790.0,60.76923076923077,24.384615384615383,0,(0/6),0.0
65,Master,Married,76995.0,1,1012,80,498,0,16,176,2,11,4,9,581.0,22.346153846153847,68.53846153846153,1,(1/6),16.666666666666664
29,2n Cycle,Single,33812.0,1,4,17,19,30,24,39,2,2,1,3,726.0,90.75,16.625,0,(0/6),0.0
32,Graduation,Married,37040.0,0,86,2,73,69,38,48,1,4,2,5,813.0,67.75,26.333333333333332,0,(0/6),0.0
35,Graduation,Married,2447.0,1,1,1,1725,1,1,1,15,0,28,0,662.0,15.395348837209303,40.23255813953488,0,(0/6),0.0
65,PhD,Married,58607.0,1,867,0,86,0,0,19,3,2,3,9,676.0,39.76470588235294,57.1764705882353,1,(1/6),16.666666666666664
60,PhD,Married,65324.0,1,384,0,102,21,32,5,3,6,2,9,292.0,14.6,27.2,0,(0/6),0.0
63,Graduation,In-Relationship,40689.0,1,270,3,27,39,6,99,7,7,1,5,591.0,29.55,22.2,0,(0/6),0.0
45,Graduation,Single,18589.0,0,6,4,25,15,12,13,2,2,1,3,666.0,83.25,9.375,0,(0/6),0.0
38,Graduation,Married,53359.0,2,173,4,30,3,6,41,4,5,1,4,521.0,37.214285714285715,18.357142857142858,0,(0/6),0.0
28,Graduation,Single,48330.61666666667,1,5,1,3,3,263,362,0,27,0,0,617.0,22.85185185185185,23.59259259259259,0,(0/6),0.0
25,Graduation,Married,38360.0,1,36,2,42,20,21,10,2,2,1,4,517.0,57.44444444444444,14.555555555555555,0,(0/6),0.0
49,PhD,Married,84618.0,0,684,100,801,21,66,0,1,6,9,10,342.0,13.153846153846153,64.3076923076923,1,(1/6),16.666666666666664
25,Master,Divorced,10979.0,0,8,4,10,2,2,4,2,3,0,3,161.0,20.125,3.75,0,(0/6),0.0
51,Master,In-Relationship,38620.0,0,112,17,44,34,22,89,1,2,5,3,537.0,48.81818181818182,28.90909090909091,0,(0/6),0.0
44,Graduation,In-Relationship,40548.0,1,110,0,5,2,0,3,2,2,1,4,750.0,83.33333333333333,13.333333333333334,1,(1/6),16.666666666666664
62,PhD,Divorced,46610.0,2,96,12,96,33,22,43,6,4,1,6,731.0,43.0,17.764705882352942,1,(1/6),16.666666666666664
68,Master,Married,68657.0,0,482,34,471,119,68,22,1,3,5,9,617.0,34.27777777777778,66.44444444444444,0,(0/6),0.0
63,Master,Single,49389.0,2,40,0,19,2,1,3,1,2,0,3,427.0,71.16666666666667,10.833333333333334,0,(0/6),0.0
44,PhD,Married,67353.0,1,702,17,151,0,8,35,5,5,6,12,303.0,10.821428571428571,32.607142857142854,0,(0/6),0.0
38,2n Cycle,Married,23718.0,1,6,3,14,15,7,36,3,3,1,2,423.0,47.0,9.0,0,(0/6),0.0
41,Graduation,Widow,42429.0,1,55,0,6,2,0,4,2,1,1,3,261.0,37.285714285714285,9.571428571428571,0,(0/6),0.0
71,PhD,Divorced,48948.0,0,437,8,206,160,49,42,2,7,10,5,636.0,26.5,37.583333333333336,1,(2/6),33.33333333333333
34,Graduation,Married,80011.0,1,421,76,536,82,178,102,2,8,6,5,549.0,26.142857142857142,66.42857142857143,0,(0/6),0.0
29,Master,Married,20559.0,1,13,1,29,3,0,7,2,2,0,3,597.0,85.28571428571429,7.571428571428571,0,(0/6),0.0
57,Graduation,In-Relationship,21994.0,1,9,0,6,3,1,3,1,0,0,3,675.0,168.75,5.5,0,(0/6),0.0
55,PhD,Single,53686.60909090909,0,81,11,50,3,2,39,1,1,3,4,359.0,39.888888888888886,20.666666666666668,0,(0/6),0.0
39,Master,Married,7500.0,1,3,1,10,3,2,12,3,2,0,3,393.0,49.125,3.875,0,(0/6),0.0
38,Graduation,Single,79941.0,0,123,164,266,227,30,174,1,2,4,9,124.0,7.75,61.5,0,(0/6),0.0
18,2n Cycle,Married,7500.0,0,3,18,14,15,22,50,3,3,1,3,720.0,72.0,12.2,1,(1/6),16.666666666666664
46,Graduation,In-Relationship,41728.0,1,13,6,15,3,5,13,1,2,0,2,524.0,104.8,11.0,0,(0/6),0.0
63,Graduation,Single,57391.304964539006,3,48,5,48,6,10,7,3,2,1,4,302.0,30.2,12.4,0,(0/6),0.0
60,PhD,Married,72550.0,2,826,50,317,50,38,38,9,5,2,12,721.0,25.75,47.107142857142854,0,(0/6),0.0
57,Graduation,Widow,65486.0,1,245,19,125,37,67,14,1,4,2,10,171.0,10.058823529411764,29.823529411764707,0,(0/6),0.0
50,Master,Married,79143.0,0,650,37,780,27,167,32,1,6,9,13,810.0,27.93103448275862,58.37931034482759,0,(0/6),0.0
37,Graduation,Single,35790.0,1,12,6,20,30,1,3,2,2,0,3,666.0,95.14285714285714,10.285714285714286,0,(0/6),0.0
37,Graduation,Divorced,82582.0,0,510,120,550,156,40,241,1,4,9,7,145.0,6.904761904761905,77.0,1,(3/6),50.0
36,Graduation,Married,66373.0,2,328,9,124,12,24,109,7,4,2,10,505.0,21.956521739130434,26.347826086956523,0,(0/6),0.0
59,Master,In-Relationship,82384.0,0,984,51,432,180,120,190,1,3,10,13,710.0,26.296296296296298,72.48148148148148,1,(2/6),33.33333333333333
48,Graduation,Divorced,70287.0,0,295,35,482,121,120,40,1,5,5,10,576.0,27.428571428571427,52.04761904761905,1,(1/6),16.666666666666664
26,Graduation,Single,27938.0,1,13,0,8,2,1,5,1,1,0,4,185.0,30.833333333333332,4.833333333333333,0,(0/6),0.0
32,Graduation,Single,50921.12914679689,1,11,3,22,2,2,6,2,2,0,3,500.0,71.42857142857143,6.571428571428571,0,(0/6),0.0
46,PhD,Married,55954.0,1,447,0,28,0,0,43,3,8,2,6,241.0,12.68421052631579,27.263157894736842,0,(0/6),0.0
32,Master,Single,75777.0,0,712,26,538,69,13,80,1,3,6,11,483.0,23.0,68.47619047619048,1,(3/6),50.0
39,Graduation,In-Relationship,66653.0,2,452,18,102,16,18,6,4,4,2,12,783.0,35.59090909090909,27.818181818181817,0,(0/6),0.0
62,Graduation,Single,61823.0,1,523,7,134,37,14,169,4,8,2,10,619.0,25.791666666666668,36.833333333333336,0,(0/6),0.0
